,date,open,high,low,close,volume
0,2020-11-02,478.8699951171875,486.29998779296875,475.0,484.1199951171875,4408200
1,2020-11-03,484.92999267578125,495.30999755859375,478.760009765625,487.2200012207031,3690200
2,2020-11-04,495.3599853515625,507.7300109863281,493.9800109863281,496.95001220703125,5137300
3,2020-11-05,506.55999755859375,518.72998046875,503.45001220703125,513.760009765625,5372800
4,2020-11-06,515.0,515.2100219726562,502.510009765625,514.72998046875,4236300
5,2020-11-09,485.5400085449219,495.8500061035156,467.260009765625,470.5,10419700
6,2020-11-10,470.95001220703125,484.6000061035156,463.4100036621094,480.239990234375,8306100
7,2020-11-11,483.0,491.67999267578125,478.260009765625,490.760009765625,5460500
8,2020-11-12,491.0,496.5199890136719,480.42999267578125,486.7699890136719,5063700
9,2020-11-13,486.7699890136719,488.94000244140625,477.79998779296875,482.8399963378906,3002700
10,2020-11-16,480.0,485.5799865722656,477.29998779296875,479.1000061035156,3953600
11,2020-11-17,480.1199951171875,487.510009765625,478.8500061035156,480.6300048828125,3698100
12,2020-11-18,481.95001220703125,488.6099853515625,477.7200012207031,481.7900085449219,3629200
13,2020-11-19,482.0,487.79998779296875,480.4700012207031,484.6700134277344,2254700
14,2020-11-20,485.2200012207031,494.760009765625,481.57000732421875,488.239990234375,4253400
15,2020-11-23,490.4599914550781,491.1499938964844,475.8399963378906,476.6199951171875,5416600
16,2020-11-24,478.8399963378906,484.04998779296875,475.8900146484375,482.8800048828125,3550500
17,2020-11-25,485.1300048828125,486.8999938964844,478.9200134277344,485.0,3598600
18,2020-11-27,486.5799865722656,493.25,481.8500061035156,491.3599853515625,2805800
19,2020-11-30,490.0799865722656,492.54998779296875,481.2699890136719,490.70001220703125,3530900
20,2020-12-01,492.3399963378906,509.4700012207031,491.9800109863281,504.5799865722656,5063200
21,2020-12-02,501.6199951171875,506.79998779296875,493.5,503.3800048828125,3028400
22,2020-12-03,502.989990234375,508.7699890136719,496.0400085449219,497.5199890136719,2826100
23,2020-12-04,497.5,504.5,493.6400146484375,498.30999755859375,3666200
24,2020-12-07,500.010009765625,517.760009765625,497.7699890136719,515.780029296875,4289300
25,2020-12-08,517.9000244140625,521.489990234375,505.54998779296875,512.6599731445312,4226400
