,date,open,high,low,close,volume
0,2020-11-02,506.30999755859375,513.469970703125,495.79998779296875,503.2300109863281,7491300
1,2020-11-03,508.3399963378906,524.2000122070312,504.1099853515625,520.780029296875,6822500
2,2020-11-04,535.5700073242188,553.0999755859375,533.47998046875,551.77001953125,10255700
3,2020-11-05,566.5,573.5599975585938,559.6400146484375,566.4000244140625,7975700
4,2020-11-06,564.3900146484375,583.5499877929688,555.7999877929688,582.47998046875,9583700
5,2020-11-09,582.0999755859375,587.6599731445312,544.4299926757812,545.22998046875,14574400
6,2020-11-10,544.260009765625,544.260009765625,505.1300048828125,510.79998779296875,16101700
7,2020-11-11,522.1500244140625,537.4000244140625,517.9299926757812,536.719970703125,10118600
8,2020-11-12,539.1599731445312,550.6400146484375,532.6400146484375,538.27001953125,9145300
9,2020-11-13,545.0900268554688,546.75,522.3699951171875,531.8800048828125,8657800
10,2020-11-16,526.9000244140625,545.97998046875,526.239990234375,540.6099853515625,10344400
11,2020-11-17,542.0999755859375,543.8499755859375,532.1500244140625,536.8900146484375,7800700
12,2020-11-18,538.6099853515625,544.22998046875,527.4000244140625,537.1500244140625,12773100
13,2020-11-19,528.510009765625,539.5,524.0,537.6099853515625,14148400
14,2020-11-20,538.1599731445312,539.780029296875,522.5999755859375,523.510009765625,8500500
15,2020-11-23,526.8499755859375,535.2999877929688,520.6199951171875,525.5999755859375,9033900
16,2020-11-24,525.7000122070312,526.47998046875,515.4000244140625,518.3099975585938,8662500
17,2020-11-25,521.2999877929688,530.780029296875,520.7999877929688,529.3900146484375,6497900
18,2020-11-27,535.0,536.2999877929688,526.8200073242188,530.4500122070312,4181900
19,2020-11-30,530.5999755859375,536.5,518.8900146484375,536.0599975585938,7173800
20,2020-12-01,539.6900024414062,541.1500244140625,529.1300048828125,535.5999755859375,7439300
21,2020-12-02,534.02001953125,546.9400024414062,529.3699951171875,541.780029296875,7084000
22,2020-12-03,543.5,546.4000244140625,533.1599731445312,535.8400268554688,4988000
23,2020-12-04,537.9400024414062,542.4000244140625,535.5499877929688,542.3300170898438,5056100
24,2020-12-07,544.0499877929688,549.25,540.0,544.27001953125,5581100
25,2020-12-08,543.4000244140625,543.9500122070312,531.260009765625,534.0,6790000
